size,sex,category,fit,w,h
M,남성,상의,보통이에요,85,170
M,남성,상의,보통이에요,63,167
M,남성,상의,보통이에요,63,167
S,여성,상의,보통이에요,56,167
L,여성,상의,커요,75,175
XL,남성,상의,보통이에요,91,181
L,남성,상의,보통이에요,70,175
L,남성,상의,보통이에요,70,175
S,남성,상의,보통이에요,60,168
XL,남성,상의,보통이에요,80,181
XL,남성,상의,보통이에요,75,176
XL,남성,상의,보통이에요,73,175
XL,남성,상의,보통이에요,82,181
L,남성,상의,보통이에요,67,181
L,남성,상의,보통이에요,57,174
L,남성,상의,커요,78,174
S,여성,상의,보통이에요,44,156
L,남성,상의,보통이에요,65,170
M,남성,상의,보통이에요,63,172
XL,남성,상의,보통이에요,78,182
XL,남성,상의,보통이에요,75,175
S,남성,상의,보통이에요,63,172
L,남성,상의,보통이에요,78,185
L,남성,상의,보통이에요,75,175
L,남성,상의,보통이에요,75,175
M,여성,상의,커요,49,160
M,여성,상의,커요,49,160
M,여성,상의,커요,49,160
L,남성,상의,보통이에요,100,197
L,남성,상의,보통이에요,72,177
L,남성,상의,보통이에요,76,171
L,남성,상의,보통이에요,76,171
L,남성,상의,보통이에요,85,181
M,남성,상의,보통이에요,60,168
M,남성,상의,보통이에요,60,168
M,남성,상의,보통이에요,62,171
S,남성,상의,보통이에요,62,165
L,남성,상의,보통이에요,68,179
L,남성,상의,보통이에요,68,178
L,남성,상의,보통이에요,77,176
L,남성,상의,보통이에요,74,180
L,남성,상의,보통이에요,77,179
L,남성,상의,작아요,86,180
L,남성,상의,작아요,86,180
L,남성,상의,보통이에요,75,173
M,남성,상의,커요,65,170
M,남성,상의,보통이에요,70,166
M,남성,상의,보통이에요,66,172
M,남성,상의,보통이에요,65,176
M,남성,상의,보통이에요,76,172
M,남성,상의,보통이에요,53,173
XL,남성,상의,보통이에요,100,186
L,남성,상의,보통이에요,69,173
L,남성,상의,보통이에요,65,177
M,남성,상의,보통이에요,70,168
M,남성,상의,보통이에요,69,179
M,여성,상의,커요,74,162
S,남성,상의,커요,60,162
S,남성,상의,커요,60,162
L,남성,상의,보통이에요,65,170
M,여성,상의,커요,65,165
L,남성,상의,보통이에요,95,183
M,여성,상의,커요,50,160
M,남성,상의,보통이에요,68,173
M,남성,상의,보통이에요,70,172
M,남성,상의,보통이에요,70,172
XL,남성,상의,보통이에요,88,188
L,남성,상의,보통이에요,62,169
L,남성,상의,보통이에요,74,174
L,남성,상의,보통이에요,92,182
L,남성,상의,보통이에요,75,178
L,남성,상의,보통이에요,78,179
L,남성,상의,보통이에요,67,174
L,남성,상의,보통이에요,67,174
M,남성,상의,커요,54,160
M,남성,상의,보통이에요,56,176
M,여성,상의,커요,58,166
M,남성,상의,보통이에요,63,168
M,남성,상의,보통이에요,70,178
M,남성,상의,보통이에요,70,178
M,남성,상의,보통이에요,80,186
L,남성,상의,작아요,63,171
L,남성,상의,보통이에요,73,183
L,남성,상의,커요,75,171
L,남성,상의,보통이에요,68,172
M,남성,상의,커요,60,170
L,남성,상의,커요,72,172
L,남성,상의,보통이에요,73,174
L,남성,상의,보통이에요,68,180
L,남성,상의,보통이에요,75,180
L,남성,상의,보통이에요,68,173
L,남성,상의,보통이에요,68,178
L,남성,상의,보통이에요,73,178
L,여성,상의,보통이에요,60,168
L,남성,상의,커요,72,172
L,남성,상의,보통이에요,74,177
L,남성,상의,보통이에요,71,171
L,남성,상의,보통이에요,69,180
L,남성,상의,보통이에요,62,171
L,남성,상의,보통이에요,70,176
L,남성,상의,커요,69,180
L,남성,상의,커요,75,176
L,남성,상의,보통이에요,66,173
L,남성,상의,보통이에요,77,171
L,남성,상의,커요,78,180
L,남성,상의,보통이에요,60,170
L,남성,상의,보통이에요,74,177
L,남성,상의,보통이에요,71,181
L,남성,상의,보통이에요,69,174
L,남성,상의,보통이에요,71,181
L,남성,상의,보통이에요,82,170
L,남성,상의,보통이에요,71,184
L,남성,상의,보통이에요,73,178
L,남성,상의,보통이에요,78,181
L,남성,상의,보통이에요,78,181
L,남성,상의,보통이에요,71,181
L,여성,상의,커요,55,164
L,남성,상의,보통이에요,71,184
L,남성,상의,보통이에요,75,180
L,남성,상의,보통이에요,68,178
L,남성,상의,보통이에요,74,178
L,남성,상의,보통이에요,82,186
L,여성,상의,커요,80,181
L,남성,상의,보통이에요,68,178
L,남성,상의,보통이에요,69,175
L,남성,상의,보통이에요,69,175
L,여성,상의,보통이에요,62,165
L,남성,상의,보통이에요,69,175
L,여성,상의,보통이에요,60,168
L,남성,상의,커요,75,181
L,남성,상의,보통이에요,56,170
L,남성,상의,보통이에요,73,179
L,여성,상의,보통이에요,60,168
L,남성,상의,보통이에요,72,177
L,남성,상의,보통이에요,78,177
L,남성,상의,보통이에요,72,170
L,남성,상의,보통이에요,80,170
L,남성,상의,보통이에요,75,175
L,남성,상의,보통이에요,68,179
L,남성,상의,보통이에요,70,177
L,남성,상의,보통이에요,71,177
L,남성,상의,보통이에요,73,174
L,남성,상의,보통이에요,68,179
L,남성,상의,보통이에요,82,184
L,남성,상의,보통이에요,70,172
L,남성,상의,보통이에요,83,181
L,남성,상의,보통이에요,70,176
L,남성,상의,보통이에요,70,174
L,남성,상의,보통이에요,70,176
L,남성,상의,보통이에요,71,176
L,남성,상의,보통이에요,69,174
L,남성,상의,보통이에요,63,189
L,남성,상의,보통이에요,75,175
L,남성,상의,보통이에요,70,177
L,남성,상의,보통이에요,70,177
L,남성,상의,보통이에요,65,176
L,남성,상의,보통이에요,70,177
L,남성,상의,보통이에요,80,187
L,남성,상의,보통이에요,66,172
L,남성,상의,보통이에요,73,175
L,남성,상의,커요,72,180
L,남성,상의,보통이에요,80,187
L,남성,상의,보통이에요,73,175
L,남성,상의,보통이에요,88,181
L,남성,상의,보통이에요,88,181
L,남성,상의,보통이에요,68,172
L,남성,상의,보통이에요,75,171
L,남성,상의,보통이에요,88,181
L,남성,상의,보통이에요,69,174
L,남성,상의,보통이에요,74,177
L,남성,상의,보통이에요,80,187
L,여성,상의,보통이에요,53,165
L,여성,상의,보통이에요,63,175
L,여성,상의,보통이에요,44,164
L,남성,상의,보통이에요,65,179
L,여성,상의,보통이에요,53,158
L,남성,상의,보통이에요,70,174
L,남성,상의,보통이에요,72,177
L,남성,상의,보통이에요,65,177
L,남성,상의,보통이에요,68,174
L,남성,상의,보통이에요,80,187
L,남성,상의,보통이에요,80,185
L,남성,상의,보통이에요,85,174
L,남성,상의,보통이에요,82,174
L,남성,상의,보통이에요,78,178
L,남성,상의,커요,80,175
L,남성,상의,보통이에요,78,168
L,남성,상의,보통이에요,83,182
L,여성,상의,보통이에요,70,172
L,남성,상의,보통이에요,58,178
L,남성,상의,보통이에요,78,176
L,남성,상의,보통이에요,83,182
L,남성,상의,커요,78,175
L,여성,상의,보통이에요,47,166
L,남성,상의,보통이에요,78,176
L,여성,상의,보통이에요,47,166
L,남성,상의,보통이에요,60,167
L,남성,상의,보통이에요,78,183
L,남성,상의,보통이에요,68,178
L,남성,상의,보통이에요,60,167
L,남성,상의,커요,64,177
L,남성,상의,보통이에요,75,179
L,남성,상의,보통이에요,78,168
L,남성,상의,보통이에요,75,177
L,남성,상의,보통이에요,69,173
L,남성,상의,보통이에요,78,168
L,남성,상의,보통이에요,75,170
L,남성,상의,보통이에요,80,180
L,남성,상의,보통이에요,55,172
L,여성,상의,커요,55,164
L,남성,상의,보통이에요,71,176
L,남성,상의,보통이에요,71,175
L,남성,상의,보통이에요,78,168
L,남성,상의,보통이에요,76,170
L,남성,상의,보통이에요,90,181
L,남성,상의,보통이에요,55,172
L,남성,상의,보통이에요,74,175
L,남성,상의,보통이에요,64,170
L,남성,상의,보통이에요,74,175
L,남성,상의,보통이에요,75,172
L,남성,상의,보통이에요,72,177
L,남성,상의,커요,68,175
